"","number","title","classification","timestamp","geometry","distclean","distdirty"
"20",3296,"Report 3296: Man on his way to work  sees sasquatch crossing road in his headlights","Class A","2001-10-15T12:00:00Z",c(-87.00665, 34.6802),28.7006494951334,33.3689001969274
"21",4743,"Report 4743: Nighttime sighting by two teens in southern Conecuh County","Class A","2000-02-10T12:00:00Z",c(-87.09069, 31.16),26.0149240050418,28.4000637167965
"22",5954,"Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville","Class A","2007-09-01T12:00:00Z",c(-88.14999, 33.13),14.8637064309041,4.79507105162165
"23",6938,"Report 6938: Tracks and feces found in freshly turned field","Class A","2003-08-30T12:00:00Z",c(-87.35664, 33.21145),29.89579960988,26.1292604338527
"24",7031,"Report 7031: Lady sees large hairy creature on the side of the road","Class A","2003-06-28T12:00:00Z",c(-87.31821, 33.26035),23.9630197871345,71.7910207089062
"25",7235,"Report 7235: Recollection of an afternoon sighting on Green Mountain","Class A","2004-05-28T12:00:00Z",c(-86.52105, 34.7325),30.5020302659102,3.86543638707197
"26",7427,"Report 7427: Four youths have harrowing experience in Alabama backwoods.","Class A","2003-11-26T12:00:00Z",c(-85.4258, 32.6218),28.8090683127726,9.57183282814739
"27",8171,"Report 8171: Nighttime Sighting on County Road","Class A","2004-05-09T12:00:00Z",c(-86.64066, 33.3674),13.1381391922753,10.0559535783336
"28",8679,"Report 8679: Adult recalls childhood sighting at dusk near Moody","Class A","2004-09-30T12:00:00Z",c(-86.4664, 33.6205),40.5088507484476,3.95882384680098
"29",10498,"Report 10498: Hiker has daylight sighting near Warrior.","Class A","1979-09-15T12:00:00Z",c(-86.7891, 33.8132),13.9981169247867,12.7157662958235
"30",14082,"Report 14082: Daylight road crossing sighting near Orrville","Class A","2006-09-10T12:00:00Z",c(-87.24547, 32.30673),12.2325551120688,29.0469175675114
"31",15102,"Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border","Class A","2006-07-06T12:00:00Z",c(-86.99782, 31.00002),12.3397674206932,19.3364654846433
"32",17455,"Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest","Class A","2007-05-19T12:00:00Z",c(-85.705, 32.43),16.7176543405467,19.8200698649122
"33",17480,"Report 17480: Sighting by a group of campers in Cheaha Mountain State Park","Class A","2007-04-22T12:00:00Z",c(-85.625, 33.35),22.1930985605886,18.4945731683648
"34",18043,"Report 18043: Evening sighting by family driving by Guntersville Lake","Class A","1992-08-15T12:00:00Z",c(-86.17524, 34.27607),31.0184271766719,17.0813163228277
"35",22539,"Report 22539: Roadside Sighting near Moody","Class A","2007-07-18T12:00:00Z",c(-86.5, 33.59),31.3838442280419,16.8081971659664
"36",24646,"Report 24646: Early morning sighting by a fisherman south of Montgomery","Class A","2001-04-13T12:00:00Z",c(-86.581, 32.184),15.4183793237162,21.5252329683095
"37",25238,"Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest","Class A","1999-11-23T12:00:00Z",c(-86.17122, 33.36305),11.0943591578288,23.7576250559036
"38",25559,"Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville","Class A","2009-02-24T12:00:00Z",c(-86.6575, 34.71139),9.7538046934568,8.79177107891806
"39",26513,"Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile","Class A","1979-09-14T12:00:00Z",c(-87.91833, 30.7113),16.8555116427506,11.3431443157045
"40",26886,"Report 26886: Daylight sighting while riding ATV on his private property outside Verbena","Class A","2000-05-13T12:00:00Z",c(-86.4891, 32.76967),29.7969643518077,13.8327678912393
"41",27067,"Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton","Class A","1980-01-12T12:00:00Z",c(-85.35995, 31.86801),11.9562703471693,8.74644762692832
"42",27459,"Report 27459: Motorist sights dirty-white upright creature near the town of Kansas","Class A","2010-03-12T12:00:00Z",c(-87.53395, 33.8957),23.7008976140673,9.81539398050328
"43",27480,"Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas","Class A","1990-05-15T12:00:00Z",c(-87.53395, 33.8957),15.9803767759869,11.4476390990675
"44",27568,"Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals","Class A","2005-01-12T12:00:00Z",c(-87.77686, 34.70112),15.5547672086084,11.3409326799871
"45",33307,"Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton","Class A","1983-10-14T12:00:00Z",c(-87.06486, 31.13586),17.5919158858039,30.6698017791638
"46",35293,"Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia","Class A","1978-10-10T12:00:00Z",c(-86.54527, 31.34781),31.6516924598512,7.77564790901697
"47",35475,"Report 35475: Daylight road crossing near Vernon","Class A","2012-05-21T12:00:00Z",c(-88.12475, 33.41574),16.8846979820813,7.57349657794204
"48",37038,"Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale","Class A","2008-02-15T12:00:00Z",c(-88.26291, 31.25385),44.2822840747245,68.3043786386978
"49",37094,"Report 37094: Multiple sightings close to Lookout Mountain near Gadsden","Class A","2012-11-01T12:00:00Z",c(-85.48985, 33.82162),23.47763812978,8.41591276433519
"50",39383,"Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove","Class A","2012-08-15T12:00:00Z",c(-86.5045, 34.32279),24.6477381034062,7.34824355095149
"51",40417,"Report 40417: Nighttime encounters close to home near Morgan","Class A","2013-03-16T12:00:00Z",c(-86.56954, 34.47091),31.3097395720836,4.97330205675263
"52",40912,"Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line","Class A","2013-01-23T12:00:00Z",c(-86.88621, 34.29511),31.0813508793328,9.03683835841939
"53",42939,"Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton","Class A","2013-10-15T12:00:00Z",c(-86.37698, 32.48322),11.4476909832857,7.37050464464951
"54",43689,"Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham","Class A","2013-10-02T12:00:00Z",c(-86.98473, 33.55153),26.3640233191711,10.258710583587
"55",44487,"Report 44487: Memory told of a close dalylight observation outside Alexander City","Class A","2014-03-30T12:00:00Z",c(-85.9793, 32.91874),9.98168025472665,6.24855910795441
"56",44849,"Report 44849: Sightings at night in the same area off Bone Camp Road near Northport","Class A","2014-12-27T12:00:00Z",c(-87.6942, 33.37095),26.4400709105044,8.50273656904059
"57",44986,"Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville","Class A","2014-12-31T12:00:00Z",c(-85.19265, 31.651),32.5870669927887,6.24541511130366
"58",45296,"Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen","Class A","2014-06-09T12:00:00Z",c(-86.96416, 34.00806),16.1895914714733,14.7890653353483
"59",45464,"Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff","Class A","2014-06-17T12:00:00Z",c(-85.22781, 34.14117),9.64478886057129,8.9239737590941
"60",46746,"Report 46746: Nighttime sighting by a motorist west of Newville","Class A","2014-09-17T12:00:00Z",c(-85.21574, 31.23374),11.3018778799454,13.9633000159418
"61",47975,"Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton","Class A","2013-01-28T12:00:00Z",c(-85.7944, 31.53475),13.3189653337825,36.8434677217346
"62",50178,"Report 50178: Recollection of a roadside sighting of a white Bigfoot near Blount Springs","Class A","2014-01-14T12:00:00Z",c(-86.84557, 33.89833),16.5315304105155,23.2764538126795
"63",65679,"Report 65679: Afternoon sighting of a bigfoot by motorist on Hwy 17 just north of Deer Park","Class A","2020-04-16T12:00:00Z",c(-88.31126, 31.24305),31.6389990906808,4.44913724064565
"64",67423,"Report 67423: Sighting of a Sasquatch crossing forest road off I-20 near AL/GA state border.","Class A","2020-06-15T12:00:00Z",c(-85.41961, 33.64341),26.8725417973849,8.10257939351414
"65",186,"Report 186: Two boys are chased by sasquatch","Class A","2001-08-11T12:00:00Z",c(-92.34083, 34.55056),14.4919662621226,16.4661078108489
"66",1636,"Report 1636: Teenager has sighting near Ozark National Forest","Class A","1972-11-05T12:00:00Z",c(-92.38222, 36.19444),13.4071007898054,19.8322580937724
"67",1637,"Report 1637: Backyard sighting near Mountain Home.","Class A","1995-05-15T12:00:00Z",c(-92.385, 36.33528),21.1363400561308,5.51291494369359
"68",1640,"Report 1640: Nightime sighting by motorists on Hwy 7 North","Class A","1996-10-15T12:00:00Z",c(-93, 34.08),25.7688654263241,14.9890827621306
"69",1641,"Report 1641: From top of hill, hunter observes bipedal creature following a fence row","Class A","1998-10-29T12:00:00Z",c(-93.1, 34.25),32.1831785369314,9.11698470438554
"70",1944,"Report 1944: Family has multiple encounters with white bigfoot creature","Class A","1969-08-16T12:00:00Z",c(-94.3643, 33.76986),14.9457634119372,7.69067533807012
"71",2494,"Report 2494: Bus driver encounters ape like creature during an unscheduled stop","Class A","2001-08-11T12:00:00Z",c(-91.735, 34.787),19.6100146713357,7.68901706656969
"72",2774,"Report 2774: Large bipedal animal observes couple parking behind school gymnasium","Class A","1988-01-10T12:00:00Z",c(-90.51056, 36.12083),21.3106722010475,14.5035090334891
"73",2931,"Report 2931: Daylight sighting outside rural home in small community of Herbine, south of Rison","Class A","2001-07-29T12:00:00Z",c(-92.03389, 33.82111),24.0826195172411,4.94437468161546
"74",2957,"Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road","Class A","1970-06-15T12:00:00Z",c(-93.83426, 35.9975),28.9341277610299,17.5624492871467
"75",3226,"Report 3226: Man finds 3-toed prints & wife has sighting","Class A","1998-11-15T12:00:00Z",c(-93.15208, 35.42097),33.7725026597275,15.308732341226
"76",3519,"Report 3519: Man working in wooded area sees bipedal animal standing on railroad tracks","Class A","1984-04-17T12:00:00Z",c(-93.20389, 33.88861),29.2853121691438,10.4927602000713
"77",4090,"Report 4090: Sighting in wheat field near Fouke","Class A","2000-01-15T12:00:00Z",c(-93.886, 33.26666),18.5574226399465,14.9675157541791
"78",4093,"Report 4093: Daytime sighting between Pocahontas and Imboden","Class A","1977-09-25T12:00:00Z",c(-91.1125, 36.19791),36.7979167744874,10.1083303660941
"79",4094,"Report 4094: Late night encounter near Benton","Class A","1994-10-15T12:00:00Z",c(-92.58667, 34.56444),15.6483004277941,7.44150917559738
"80",5228,"Report 5228: Motorist has nighttime sighting of bipedal animal at roadside","Class A","1997-03-14T12:00:00Z",c(-91.87, 36.37111),14.869153647471,16.4615262116275
"81",5316,"Report 5316: Daytime sighting by hiker near Spring Creek.","Class A","2002-10-10T12:00:00Z",c(-94.23417, 36.20611),15.7167981172057,19.0699571753321
"82",5607,"Report 5607: Driver narrowly misses creature darting across mountainous stretch of highway","Class A","1998-07-07T12:00:00Z",c(-94.45417, 34.70694),14.3751469005538,7.2923641135437
"83",6178,"Report 6178: Motorist crossing a bridge sees sasquatch digging in the dirt below","Class A","2004-04-04T12:00:00Z",c(-94.44694, 36.18333),33.9682006658654,17.1057037074334
"84",6932,"Report 6932: Duck hunter observes apelike creature across White River","Class A","1999-11-15T12:00:00Z",c(-91.45889, 35.64861),18.028648020753,12.6514054484156
"85",7045,"Report 7045: Man riding 4-wheeler observes a bigfoot reaching into a tree","Class A","2003-10-31T12:00:00Z",c(-93.94583, 36.34167),31.1269559022048,16.417465881
"86",7234,"Report 7234: Daylight sighting by two sisters near their farm in the early 1960s","Class A","1961-10-15T12:00:00Z",c(-91.08056, 34.88111),18.0002854850055,12.6443889143643
"87",7815,"Report 7815: Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree","Class A","2003-08-12T12:00:00Z",c(-93.13361, 35.27833),12.7897896636731,8.45331035399743
"88",7971,"Report 7971: Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke.","Class A","2004-02-19T12:00:00Z",c(-93.9475, 33.18639),15.2338141839167,8.65715050811178
"89",8420,"Report 8420: Early morning motorist driving to work sees bipedal animal running through field","Class A","2004-04-03T12:00:00Z",c(-92.40778, 34.53167),14.1886532526276,13.9016796761147
"90",8527,"Report 8527: Man has extraordinary, close encounter while fishing near Huntington","Class A","2004-04-23T12:00:00Z",c(-94.356, 35.09306),14.3007150986096,14.0416288634759
"91",8913,"Report 8913: Late night sighting by motorist","Class A","2001-05-15T12:00:00Z",c(-91.27056, 33.7985),17.9027321203664,5.5817612687753
"92",9507,"Report 9507: Roadside sighting near Eureka Springs","Class A","1994-07-16T12:00:00Z",c(-93.74, 36.41),33.0750261292414,8.4449365586723
"93",9753,"Report 9753: Animal peers into youngster's bedroom window","Class A","1986-07-15T12:00:00Z",c(-91.51306, 35.44944),40.2279563584232,18.3548263374841
"94",10913,"Report 10913: Squirrel Hunter has encounter south of El Dorado","Class A","2002-11-05T12:00:00Z",c(-92.61493, 33.14663),16.3737199808046,19.0180795533566
"95",10919,"Report 10919: Youth has sighting from his backyard on Air Force Base","Class A","1975-09-15T12:00:00Z",c(-92.12, 34.87),17.8776589253179,9.02943680691106
"96",11430,"Report 11430: Two young men have a sighting while spelunking near Huntsville.","Class A","1981-07-15T12:00:00Z",c(-93.75723, 36.31519),18.6136183176996,27.5192397463484
"97",11632,"Report 11632: 4' - 5.5' upright animal seen crossing dead-end road.","Class A","2005-05-07T12:00:00Z",c(-92.64066, 33.26462),32.206259298124,15.6409920075422
"98",13211,"Report 13211: Early morning sighting by resident along Highway 7 near Bismarck.","Class A","2005-12-04T12:00:00Z",c(-93.162, 34.285),14.6078629734126,12.0681578917414
"99",13718,"Report 13718: Man tells of two-legged animal crossing road in front of his car east of Paris","Class A","1986-06-01T12:00:00Z",c(-93.75313, 35.34572),18.7821194498731,5.05432161613208
"100",13983,"Report 13983: Possible sighting by fisherman at Blue Lake.","Class A","1980-06-15T12:00:00Z",c(-90.32, 35.0194),22.6721591166347,12.4717243495036
"101",16696,"Report 16696: Dusk sighting and vocalizations around property near Cove","Class A","2004-10-15T12:00:00Z",c(-94.3745, 34.369),15.9986247065177,13.7804787507546
"102",24254,"Report 24254: Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton","Class A","1992-06-14T12:00:00Z",c(-93.07654, 34.44652),13.7434902961366,8.86000431297863
"103",26100,"Report 26100: Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River","Class A","1996-11-15T12:00:00Z",c(-93.89135, 33.14759),32.8102916074606,7.42427307193101
"104",27482,"Report 27482: Man recalls incident while camping as a teenager near Cedarville","Class A","2010-03-23T12:00:00Z",c(-94.229, 35.36335),17.8827374672476,13.3495094330279
"105",27948,"Report 27948: Motorist has nighttime sighting on a mountain road north of Flippin","Class A","2004-01-14T12:00:00Z",c(-92.63179, 36.29871),34.0191372497334,16.7276537570635
"106",29417,"Report 29417: Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area","Class A","2010-11-18T12:00:00Z",c(-92.75093, 34.73147),13.4727352151595,15.4327057432519
"107",36178,"Report 36178: Motorist has nighttime sighting near Lake Village","Class A","2012-07-29T12:00:00Z",c(-91.22115, 33.26855),28.8855450591641,17.8811166101281
"108",36498,"Report 36498: Pre-dawn sighting on a rural road near Fouke","Class A","2012-09-13T12:00:00Z",c(-93.98622, 33.33171),36.3649756938252,9.76455293275121
"109",38015,"Report 38015: Motorist observes three bigfoots crossing before him at night east of Harrison","Class A","2012-12-04T12:00:00Z",c(-92.52505, 36.14065),31.7594721068377,9.59928389646852
"110",40020,"Report 40020: Man has a close daytime encounter with a probable Bigfoot family outside Hardy","Class A","2008-01-15T12:00:00Z",c(-91.52025, 36.33205),14.9573192105069,7.19030643470778
"111",40101,"Report 40101: Motorist views large bipedal animal squatting at night beside I-40 near Marche.","Class A","2012-12-07T12:00:00Z",c(-92.3575, 34.86535),16.1073910740536,12.3350910135475
"112",41827,"Report 41827: Motorist has close encounter on Mallard Point Road near Lake Norfork","Class A","2009-02-15T12:00:00Z",c(-92.30614, 36.38605),15.5978367686708,12.140230534718
"113",46380,"Report 46380: Mother & daughter have unusual, close-up encounter on the road at night near Newark","Class A","2011-11-24T12:00:00Z",c(-91.46231, 35.703),10.8781430504521,3.86993126787803
"114",50541,"Report 50541: Motorist has a close sighting at dusk on AR-258 outside Bald Knob","Class A","2015-12-28T12:00:00Z",c(-91.60007, 35.34737),12.7646254885053,4.9845160757891
"115",55376,"Report 55376: Two fishermen have close-up sighting while driving home at night from Norfork Lake","Class A","2003-12-15T12:00:00Z",c(-92.27071, 36.37399),12.9781649026432,4.30694259448625
"116",55410,"Report 55410: Deer hunter encounters several Bigfoots, possibly a family unit, near Searcy","Class A","2015-11-26T12:00:00Z",c(-91.50301, 35.255),11.4237595202324,16.1630068852333
"117",56108,"Report 56108: Sighting at dusk by a Retired Police Officer with Anthropology Degree","Class A","2016-12-02T12:00:00Z",c(-94.1125, 34.4125),15.3551784597249,13.1603277542772
"118",56735,"Report 56735: Motorist has daytime sighting while driving past Joseph T. Robinson military base","Class A","2017-02-10T12:00:00Z",c(-92.25454, 34.85324),14.8279622967959,11.1041344439447
"119",56954,"Report 56954: Two young hunters hide and watch hairy bipedal animal walking near the Jenkins Ferry Battleground Historical Monument","Class A","1973-04-15T12:00:00Z",c(-92.57542, 34.20873),15.4292315622425,28.2978527892012
"120",57471,"Report 57471: Memory told of a close daylight encounter with a white Bigfoot while riding a motorcycle inside Camp Joseph T. Robinson","Class A","1976-09-15T12:00:00Z",c(-92.30519, 34.92336),15.0106545920456,15.4473867828737
"121",59736,"Report 59736: Motorists (father & son) close range, daylight, road crossing sighting along Mounds Rd. outside West Mephis","Class A","2006-06-17T12:00:00Z",c(-90.1355, 35.738),12.7662986491778,5.05322772591935
"122",62340,"Report 62340: Daylight sighting of grey-white Sasquatch ~15mi west of Russellville","Class A","1976-08-14T12:00:00Z",c(-93.206, 35.186),25.0489430517537,9.49730976645492
"123",62625,"Report 62625: Daylight sighting by two hikers at trailhead for Hideout Hollow in Buffalo National River.","Class A","2018-07-22T12:00:00Z",c(-93.1545, 36.042),31.4246349595345,12.5150039780257
"124",62678,"Report 62678: Father and two sons see a sasquatch near Holiday Island","Class A","1997-05-10T12:00:00Z",c(-93.448, 36.3025),13.3085996746465,7.25908673663567
"125",62851,"Report 62851: Woman experienced terrifying close encounter as a child and later as a teenager.","Class A","1978-05-15T12:00:00Z",c(-93.56799, 33.66554),16.9984161061465,16.0134124840928
"126",63860,"Report 63860: Two witnesses observe a Sasquatch at dusk in the White River National Wildlife Refuge","Class A","1979-06-14T12:00:00Z",c(-91.07266, 34.17376),14.8024251476979,7.95866603578766
"127",63984,"Report 63984: Night fisherman sees a reddish Sasquatch running near Red River","Class A","1990-06-17T12:00:00Z",c(-94.036, 33.387),32.6489277963305,8.15686104454403
"128",440,"Report 440: A daylight sighting report by an ex soldier","Class A","2000-10-10T12:00:00Z",c(-110.1835, 31.99003),47.9644349708083,32.5759922914238
"129",3482,"Report 3482: Nighttime sighting by motorists on Hwy 87 in Jacks Canyon, 30 miles south of Winslow","Class A","2000-12-24T12:00:00Z",c(-110.8403, 34.90831),31.21623365991,21.9276387771255
"130",6552,"Report 6552: Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument","Class A","2001-06-17T12:00:00Z",c(-109.4276, 36.09081),30.5372859805206,24.7366407182564
"131",7495,"Report 7495: Night time road crossing near Strawberry, Arizona","Class A","1983-12-30T12:00:00Z",c(-111.5, 34.4),34.3047391116738,33.3077908730075
"132",7566,"Report 7566: Bow hunter has daylight sighting near Alpine.","Class A","1993-09-04T12:00:00Z",c(-109.3191, 33.6247),18.8319200943504,26.3780685549568
"133",8685,"Report 8685: Morning sighting in the Lukachukai Mountains of northeast Arizona","Class A","1981-11-07T12:00:00Z",c(-109.29, 36.54165),46.5634503000207,31.5407326454618
"134",11514,"Report 11514: Evening sighting by motorists north of Flagstaff.","Class A","1990-07-01T12:00:00Z",c(-111.938, 35.656),29.6694686189355,25.5371056155548
"135",16580,"Report 16580: Afternoon road-crossing sighting by motorist on RT 61 near Concho","Class A","2006-10-26T12:00:00Z",c(-109.64, 34.325),48.855024343971,22.8368808450278
"136",17448,"Report 17448: A close range road crossing on a foggy morning near Safford","Class A","2007-01-22T12:00:00Z",c(-109.675, 32.815),47.7995387701597,27.3444895130628
"137",17804,"Report 17804: Late afternoon road crossing sighting by motorist west of Springerville.","Class A","2007-02-01T12:00:00Z",c(-109.44, 34.6),50.4534169752654,48.1742420174931
"138",18723,"Report 18723: Late night multi-witness, road-crossing sighting near Bartlett Lake.","Class A","1995-07-15T12:00:00Z",c(-111.69, 33.85),31.907454175161,33.0581136801542
"139",19339,"Report 19339: Late afternoon road crossing near Cibecue (Fort Apache Reservation)","Class A","2006-10-15T12:00:00Z",c(-110.4298, 33.99989),33.1289371777016,24.2672318552426
"140",23136,"Report 23136: Early morning roadside sighting of tall gray creature near Buckeye","Class A","2008-07-29T12:00:00Z",c(-112.6432, 33.3785),33.2464073134226,25.9606932929381
"141",23358,"Report 23358: Late night road side sighting near Tonto Creek","Class A","2006-11-17T12:00:00Z",c(-111.1367, 34.28939),49.7891669756394,27.7807691784461
"142",24405,"Report 24405: Man tells of his scary encounter while traveling Route 66 in a snow storm","Class A","1973-12-20T12:00:00Z",c(-111.8634, 35.241),51.8283700998787,3.78544263858271
"143",27495,"Report 27495: Afternoon sighting by a commuter south of Show Low","Class A","2010-03-24T12:00:00Z",c(-110.165, 34.1),44.9486358067739,23.1533127102797
"144",28946,"Report 28946: Army Vet recalls daylight sighting near Prescott","Class A","1981-08-15T12:00:00Z",c(-112.5421, 34.55154),31.8271094758478,16.4574779199487
"145",29358,"Report 29358: Brief daylight sighting within the city limits of Show Low","Class A","2011-05-31T12:00:00Z",c(-110, 34),30.0507105290374,27.9023328275612
"146",42364,"Report 42364: Memory told of a daylight sighting and parallel chase in the Gila River bottoms while riding horseback","Class A","1992-08-15T12:00:00Z",c(-112.73, 32.95),49.8858734332677,33.2153158926722
"147",47536,"Report 47536: Evening sighting from a fishing boat on Fools Hollow Lake near Show Low.","Class A","2014-04-22T12:00:00Z",c(-110.11, 34.285),31.5586957246335,30.6663106990391
"148",69323,"Report 69323: 20 miles east of Petrified Forest National Park -- motorhome driver and wife report daylight sighting from Interstate 40","Class A","2021-06-10T12:00:00Z",c(-109.25, 35.175),47.2652248623658,29.2222376092249
"149",83,"Report 83: Early dawn sighting by hunters near Bass Lake","Class A","1988-10-01T12:00:00Z",c(-119.6436, 37.35944),37.9489888637049,38.4016957092731
"150",147,"Report 147: Sound reports from resident in South Lake Tahoe","Class A","2000-06-15T12:00:00Z",c(-119.9833, 38.93333),55.5225699806385,39.3838478137535
"151",353,"Report 353: Night sighting by two motorists near Lake Tahoe","Class A","2000-09-23T12:00:00Z",c(-120.0914, 38.9575),56.7565343431926,25.7096167075668
"152",528,"Report 528: Three children have daytime sighting near Eureka","Class A","1957-06-01T12:00:00Z",c(-124.1625, 40.80222),13.522510700029,47.7095008451189
"153",615,"Report 615: Sighting by woman in Eagle Meadow, above Strawberry","Class A","1997-11-15T12:00:00Z",c(-119.836, 38.28085),12.0336866746023,11.4655023824733
"154",849,"Report 849: Girl has daytime sighting near Payne's Creek","Class A","1968-11-01T12:00:00Z",c(-121.9139, 40.33556),40.3759230775669,41.2241305309111
"155",865,"Report 865: Two 4-wheelers have night sighting above Huntington Lake","Class A","1997-12-18T12:00:00Z",c(-119.2119, 37.23389),43.1606834718138,32.8241475778747
"156",868,"Report 868: Campers have sighting above Pinecrest","Class A","1994-06-01T12:00:00Z",c(-119.9065, 38.17677),43.6620282875739,37.7982997550803
"157",875,"Report 875: Man has sighting near Alturas","Class A","1974-06-01T12:00:00Z",c(-120.6781, 41.41),44.002237765141,10.9254377532436
"158",913,"Report 913: Hikers see creature in Desolation Wilderness","Class A","2000-07-01T12:00:00Z",c(-120.205, 38.93),43.9699261416255,10.7360037490679
"159",919,"Report 919: Car passenger has nighttime sighting near Lake Tahoe","Class A","1996-04-10T12:00:00Z",c(-119.9833, 38.93333),56.276642160144,29.1205150789765
"160",1055,"Report 1055: Two hikers have morning sighting in the Desolation Wilderness","Class A","1993-04-01T12:00:00Z",c(-120.1358, 38.86),53.1680169166577,24.0216580370715
"161",1068,"Report 1068: Two fisherman have daytime sighting above Huntington Lake","Class A","1995-10-29T12:00:00Z",c(-118.9975, 37.35861),52.4630271511671,23.1690031464476
"162",1090,"Report 1090: Girl has daytime sighting near Twain Harte","Class A","1978-08-01T12:00:00Z",c(-120.1877, 38.06615),56.4236275115532,19.2839963242192
